Symbol,Atomic Number,Atomic Radius,Electronegativity,Valence
H,1,0.32,2.2,1.0
He,2,0.46,,
Li,3,1.33,0.98,1.0
Be,4,1.02,1.57,2.0
B,5,0.85,2.04,3.0
C,6,0.75,2.55,4.0
N,7,0.71,3.04,5.0
O,8,0.63,3.44,6.0
F,9,0.64,3.98,7.0
Ne,10,0.67,,8.0
Na,11,1.55,0.93,1.0
Mg,12,1.39,1.31,2.0
Al,13,1.26,1.61,3.0
Si,14,1.16,1.9,4.0
P,15,1.11,2.19,5.0
S,16,1.03,2.58,6.0
Cl,17,0.99,3.16,7.0
Ar,18,0.96,,8.0
K,19,1.96,0.82,1.0
Ca,20,1.71,1.0,2.0
Sc,21,1.48,1.36,
Ti,22,1.36,1.54,
V,23,1.34,1.63,
Cr,24,1.22,1.66,
Mn,25,1.19,1.55,
Fe,26,1.16,1.83,
Co,27,1.11,1.88,
Ni,28,1.1,1.91,
Cu,29,1.12,1.9,
Zn,30,1.18,1.65,
Ga,31,1.24,1.81,3.0
Ge,32,1.21,2.01,4.0
As,33,1.21,2.18,5.0
Se,34,1.16,2.55,6.0
Br,35,1.14,2.96,7.0
Kr,36,1.17,,8.0
Rb,37,2.1,0.82,1.0
Sr,38,1.85,0.95,2.0
Y,39,1.63,1.22,
Zr,40,1.54,1.33,
Nb,41,1.47,1.6,
Mo,42,1.38,2.16,
Tc,43,1.28,1.9,
Ru,44,1.25,2.2,
Rh,45,1.25,2.28,
Pd,46,1.2,2.2,
Ag,47,1.28,1.93,
Cd,48,1.36,1.69,
In,49,1.42,1.78,3.0
Sn,50,1.4,1.96,4.0
Sb,51,1.4,2.05,5.0
Te,52,1.36,2.1,6.0
I,53,1.33,2.66,7.0
Xe,54,1.31,,8.0
Cs,55,2.32,0.79,1.0
Ba,56,1.96,0.89,2.0
La,57,1.8,1.1,
Ce,58,1.63,1.12,
Pr,59,1.76,1.13,
Nd,60,1.74,1.14,
Pm,61,1.73,1.13,
Sm,62,1.72,1.17,
Eu,63,1.68,1.2,
Gd,64,1.69,1.2,
Tb,65,1.68,1.2,
Dy,66,1.67,1.22,
Ho,67,1.66,1.23,
Er,68,1.65,1.24,
Tm,69,1.64,1.25,
Yb,70,1.7,1.1,
Lu,71,1.62,1.27,
Hf,72,1.52,1.3,
Ta,73,1.46,1.5,
W,74,1.37,2.36,
Re,75,1.31,1.9,
Os,76,1.29,2.2,
Ir,77,1.22,2.2,
Pt,78,1.23,2.28,
Au,79,1.24,2.54,
Hg,80,1.33,2.0,
Tl,81,1.44,2.04,3.0
Pb,82,1.44,2.33,4.0
Bi,83,1.51,2.02,5.0
Po,84,1.45,2.0,6.0
At,85,1.47,2.2,7.0
Rn,86,1.42,,8.0
Fr,87,0.0,0.7,1.0
Ra,88,2.01,0.9,2.0
Ac,89,1.86,1.1,
Th,90,1.75,1.3,
Pa,91,1.69,1.5,
U,92,1.7,1.38,
Np,93,1.71,1.36,
Pu,94,1.72,1.28,
Am,95,1.66,1.3,
Cm,96,1.66,1.3,
Bk,97,0.0,1.3,
Cf,98,0.0,1.3,
Es,99,0.0,1.3,
Fm,100,0.0,1.3,
Md,101,0.0,1.3,
No,102,0.0,1.3,
Lr,103,0.0,,
Rf,104,0.0,,
Db,105,0.0,,
Sg,106,0.0,,
Bh,107,0.0,,
Hs,108,0.0,,
Mt,109,0.0,,
Ds ,110,0.0,,
Rg ,111,0.0,,
Cn ,112,0.0,,
Nh,113,0.0,,3.0
Fl,114,0.0,,4.0
Mc,115,0.0,,5.0
Lv,116,0.0,,6.0
Ts,117,0.0,,7.0
Og,118,0.0,,8.0
